leaid,lea_name,cf,enrollment,urban_centric_locale,urm_pct,frl_pct,academic,scoScore
1811100,MSD Steuben County,FALSE,2581,Rural fringe,16.31,36.730000000000004,1.68,0.83
1811190,Sunman-Dearborn Com Sch Corp,FALSE,3770,Rural distant,4.96,18.060000000000002,1.34,0.56
1811220,Switzerland County School Corp,FALSE,1494,Rural distant,5.76,50.739999999999995,1.38,0.74
1811250,Taylor Community School Corp,FALSE,1302,Rural fringe,34.1,53.99,2.13,1.15
1811260,Tell City-Troy Twp School Corp,FALSE,1416,Rural fringe,8.62,45.06,1.71,0.84
1811340,Tippecanoe School Corp,FALSE,13591,Suburb midsize,29.599999999999998,35.699999999999996,1.34,0.77
1811370,Tippecanoe Valley School Corp,FALSE,1805,Rural distant,18.84,50.36000000000001,1.35,0.8
1811400,Tipton Community School Corp,FALSE,1444,Town fringe,9.9,37.6,1.34,0.69
1811430,Tri-County School Corporation,FALSE,764,Rural distant,14.01,38.22,1.34,0.71
1811460,Tri-Creek School Corporation,FALSE,3229,Rural fringe,14.649999999999999,24.84,1,0.53
1811490,Triton School Corporation,FALSE,918,Rural distant,8.93,34.86,1.37,0.67
1811580,Twin Lakes School Corp,FALSE,2252,Town distant,18.12,58.63,1.68,0.95
1811610,Union Co/Clg Corner Joint Sch Dist,FALSE,1299,Rural distant,5.47,47.04,1,0.6
1811700,Union Township School Corp,FALSE,1407,Rural fringe,17.84,27.29,1,0.56
1811730,Union School Corporation,FALSE,6338,Rural distant,32.22,62.7,1.77,1.06
1811910,Union-North United School Corp,FALSE,1274,Rural distant,10.83,43.72,1,0.61
1811970,Valparaiso Community Schools,FALSE,6356,Suburb large,24.48,28.349999999999998,1,0.6
1812060,Crothersville Community Schools,TRUE,482,Rural distant,7.26,60.79,1.76,1.01
1812090,Vigo County School Corp,FALSE,13940,City small,19.54,54.379999999999995,2.07,1.06
1812120,Vincennes Community School Corp,FALSE,2818,Town remote,13.52,47.23,1,0.64
1812150,Wabash City Schools,FALSE,1569,Town distant,8.799999999999999,50.29,1.41,0.77
1812180,MSD Wabash County Schools,FALSE,2125,Rural distant,9.04,45.93,1.38,0.73
1812240,Wa-Nee Community Schools,FALSE,2878,Town fringe,16.68,29.64,1,0.56
1812360,MSD Warren Township,FALSE,11801,City large,82.97,59.27,2.14,1.42
1812390,Warrick County School Corp,FALSE,10070,Suburb midsize,13.07,28.82,1,0.54
1812420,Warsaw Community Schools,FALSE,6731,Town distant,28.84,42.24,1.33,0.8
1812450,Washington Community Schools,FALSE,2443,Town remote,32.17,61.519999999999996,1.7,1.03
1812720,MSD Washington Township,FALSE,10901,City large,71.31,38.86,1.74,1.13
1812810,MSD Wayne Township,FALSE,16343,City large,75.59,61.28,2.13,1.39
1812870,West Lafayette Com School Corp,FALSE,2369,City small,43.35,16.17,1,0.63
1812880,Frankton-Lapel Community Schools,FALSE,3132,Rural fringe,8.08,32.019999999999996,1,0.53
1812900,West Noble School Corporation,FALSE,2202,Rural fringe,55.45,46.589999999999996,1.72,1.08
1812930,West Washington School Corp,FALSE,872,Rural distant,5.62,100,1.33,0.97
1812990,Western Boone Co Com Sch Dist,FALSE,1676,Rural distant,6.09,31.380000000000003,1,0.52
1813050,Western Wayne Schools,FALSE,801,Town distant,6.99,54.559999999999995,1.41,0.78
1813080,Westfield-Washington Schools,FALSE,8820,Suburb large,22.189999999999998,15.8,1,0.52
1813110,Westview School Corporation,FALSE,2107,Rural distant,5.7,21.36,1,0.47
1813200,School City of Whiting,FALSE,1158,Suburb large,81.78,62.870000000000005,1.69,1.29
1813230,Whitko Community School Corp,FALSE,1243,Rural distant,7.48,41.83,1,0.58
1800008,White River Valley School District,FALSE,794,Rural distant,9.19,59.95,1,0.68
1800030,MSD Southwest Allen County Schls,FALSE,7800,Suburb large,24.26,17.560000000000002,1.35,0.66
1800060,Adams Central Community Schools,FALSE,1326,Rural distant,7.62,19.98,1,0.47
1800107,Tri-Township Cons School Corp,FALSE,332,Rural distant,5.12,33.73,1.38,0.65
1800118,North Central Parke Comm Schl Corp,FALSE,1181,Town distant,7.79,56.730000000000004,1.37,0.78
1800120,Alexandria Community School Corp,FALSE,1534,Suburb small,11.93,52.09,1,0.65
1800150,Anderson Community School Corp,FALSE,6470,City small,49.24,69.26,2.12,1.3
1800180,Argos Community Schools,FALSE,645,Rural distant,8.53,45.269999999999996,1,0.6
1800210,Attica Consolidated School Corp,FALSE,615,Town distant,8.62,50.64999999999999,1.37,0.75
1800213,Silver Creek School Corporation,FALSE,2993,Suburb large,18.94,20.05,1.33,0.64
1800240,South Dearborn Community Sch Corp,FALSE,1960,Rural fringe,5.510000000000001,41.31,1.72,0.81
1800270,Avon Community School Corp,FALSE,10310,Suburb large,43.5,33.25,1,0.72
1800330,Barr-Reeve Community Schools Inc,FALSE,995,Rural distant,3.32,22.509999999999998,1,0.46
1800360,Bartholomew Con School Corp,FALSE,11691,City small,32.300000000000004,40.06,1.69,0.92
1800390,Batesville Community School Corp,FALSE,2187,Rural fringe,8.64,24.87,1,0.5
1800420,Baugo Community Schools,FALSE,1838,Suburb midsize,22.91,21.55,1,0.56
1800450,Beech Grove City Schools,FALSE,2837,Suburb large,35.5,46.489999999999995,2.06,1.1
1800480,Benton Community School Corp,FALSE,1619,Rural distant,14.95,49.47,1.37,0.78
1800570,Blackford County Schools,FALSE,1552,Rural fringe,9.99,46.26,1.33,0.73
1800600,Bloomfield School District,FALSE,854,Town distant,6.5600000000000005,41.92,1,0.58
1800630,Monroe County Community Sch Corp,FALSE,10613,City small,25.44,30.65,1,0.61
1800660,Blue River Valley Schools,FALSE,636,Rural fringe,5.029999999999999,46.23,1.37,0.71
1800690,North Harrison Com School Corp,FALSE,2157,Rural fringe,5.9799999999999995,41.43,1,0.57
1800720,MSD Bluffton-Harrison,FALSE,1802,Town distant,13.43,39.839999999999996,1.36,0.72
1800750,MSD Boone Township,FALSE,1029,Rural fringe,15.939999999999998,42.370000000000005,1.38,0.75
1800840,Clay Community Schools,FALSE,4014,Rural fringe,6.2,46.79,1.35,0.72
1800900,Bremen Public Schools,FALSE,1479,Town distant,31.91,38.269999999999996,1,0.68
1800960,Brown County School Corporation,FALSE,1693,Rural distant,6.02,44.36,1.74,0.83
1801020,Brownsburg Community School Corp,FALSE,9799,Suburb large,32.28,24.01,1,0.61
1801050,Brownstown Cnt Com Sch Corp,FALSE,1450,Town distant,4.97,38.62,1.71,0.79
1801060,C A Beard Memorial School Corp,FALSE,1105,Rural fringe,5.34,42.99,1,0.57
1801170,Cannelton City Schools,FALSE,239,Town distant,10.040000000000001,65.27,2.13,1.09
1801200,Carmel Clay Schools,FALSE,16215,City small,30.44,9.98,1,0.54
1801290,Carroll Consolidated School Corp,FALSE,1066,Rural distant,9.01,42.5,1,0.59
1801410,Caston School Corporation,FALSE,745,Rural distant,8.86,48.05,1.39,0.75
1801440,Center Grove Community School Corp,FALSE,9173,Suburb large,19.009999999999998,18.69,1,0.52
1801560,Centerville-Abington Com Schs,FALSE,1790,Town distant,10.56,31.96,1,0.55
1801590,DeKalb Co Ctl United Sch Dist,FALSE,3609,Town fringe,8.17,40.65,1.35,0.69
1801710,Central Noble Com School Corp,FALSE,1175,Rural distant,5.36,35.32,1.37,0.66
1801740,Perry Central Com Schools Corp,FALSE,1275,Rural remote,3.92,32.47,1,0.52
1801770,Randolph Central School Corp,FALSE,1395,Town distant,9.46,39.64,1.4,0.71
1801890,Clark-Pleasant Community Sch Corp,FALSE,6809,Suburb large,31.97,40.37,1,0.7
1801920,Clarksville Community School Corp,FALSE,3129,Suburb large,36.370000000000005,32.85,2.2,1.08
1802040,Northwestern School Corp,FALSE,1894,Rural fringe,10.03,25.61,1,0.51
1802130,Clinton Central School Corporation,FALSE,868,Rural distant,9.56,42.970000000000006,1,0.6
1802160,Clinton Prairie School Corporation,FALSE,1209,Rural fringe,9.1,41.52,1,0.59
1802190,South Central Com School Corp,FALSE,945,Rural distant,11.110000000000001,34.599999999999994,1,0.56
1802220,Cloverdale Community Schools,FALSE,1406,Rural distant,9.17,42.46,1.35,0.71
1802280,Whitley County Con Schools,FALSE,3652,Rural fringe,9.28,27.11,1.36,0.64
1802400,Concord Community Schools,FALSE,5235,Suburb midsize,59.41,46.61,1.72,1.1
1802430,Covington Community School Corp,FALSE,858,Town fringe,8.86,30.19,1.34,0.64
1802440,Crawford County Community Sch Corp,FALSE,1342,Rural distant,3.8699999999999997,60.36,2.08,1.02
1802460,Crawfordsville Community Schools,FALSE,2504,Town distant,26.88,57.63,1.71,1
1802490,Crown Point Community School Corp,FALSE,8819,Suburb large,24.5,19.75,1,0.55
1802520,Culver Community Schools Corp,FALSE,827,Rural distant,15.72,51.51,1.71,0.9
1802550,Danville Community School Corp,FALSE,2557,Suburb large,10.639999999999999,24.21,1,0.51
1802610,Decatur County Community Schools,FALSE,1824,Rural fringe,4.99,45.94,1,0.59
1802640,MSD Decatur Township,FALSE,6681,City large,43.8,55.88999999999999,1.7,1.07
1802660,Delaware Community School Corp,FALSE,2571,Rural fringe,9.53,38.82,1.34,0.69
1802700,Delphi Community School Corp,FALSE,1429,Rural fringe,14.56,49.059999999999995,1.75,0.9
1802800,Duneland School Corporation,FALSE,5831,Suburb large,22.21,25.88,1,0.57
1802830,Zionsville Community Schools,FALSE,7784,Suburb large,19.400000000000002,5.2,1,0.46
1802850,East Allen County Schools,FALSE,10126,Suburb large,39.290000000000006,48.449999999999996,1.35,0.89
1802880,School City of East Chicago,FALSE,3378,Suburb large,98.02,75.85,2.26,1.62
1802910,Lake Station Community Schools,FALSE,1154,Suburb large,61.79,76.42999999999999,1.78,1.28
1802940,East Gibson School Corporation,FALSE,749,Town distant,6.54,50.2,1.34,0.73
1802970,East Noble School Corporation,FALSE,3450,Town distant,9.59,45.300000000000004,1.36,0.73
1803000,East Washington School Corp,FALSE,1416,Rural distant,6.43,40.47,1.34,0.68
1803030,Eastbrook Community Sch Corp,FALSE,1634,Rural distant,8.51,31.879999999999995,1,0.54
1803060,DeKalb Co Eastern Com Sch Dist,FALSE,1237,Rural fringe,6.3100000000000005,37.51,1,0.55
1803090,Eastern Greene Schools,FALSE,1098,Rural distant,5.56,47.04,1.36,0.72
1803120,Eastern Hancock Co Com Sch Corp,FALSE,1161,Rural distant,4.569999999999999,29.29,1,0.5
1803150,Eastern Howard School Corporation,FALSE,1566,Town fringe,8.75,41.699999999999996,1,0.59
1803180,Randolph Eastern School Corp,FALSE,897,Town distant,38.129999999999995,56.19,1.69,1.03
1803210,Shelby Eastern Schools,FALSE,1165,Rural distant,3.95,35.79,1,0.53
1803240,Edinburgh Community School Corp,TRUE,849,Suburb small,12.6,66.2,1.73,1
1803270,Elkhart Community Schools,FALSE,11659,City small,61.24000000000001,53.81,1.76,1.16
1803300,Elwood Community School Corp,FALSE,1494,Town fringe,12.120000000000001,52.61,1.36,0.78
1803330,Eminence Community School Corp,FALSE,318,Rural distant,5.029999999999999,46.54,1.37,0.71
1803450,Evansville Vanderburgh School Corp,FALSE,21942,City midsize,33.21,45.26,2.06,1.08
1803480,Fairfield Community Schools,FALSE,2171,Rural fringe,10.69,22.11,1,0.5
1803510,Fayette County School Corporation,FALSE,3305,Town distant,5.63,60.85,1.35,0.78
1803570,Flat Rock-Hawcreek School Corp,FALSE,967,Rural distant,7.140000000000001,38.37,1.37,0.68
1803630,Fort Wayne Community Schools,FALSE,28778,City large,61.88,65.29,1.75,1.22
1803660,Community Schools of Frankfort,FALSE,3055,Rural fringe,57.410000000000004,69.95,1.73,1.21
1803690,Franklin Community School Corp,FALSE,4966,Suburb large,13.950000000000001,37.25,1.34,0.7
1803700,Franklin County Community Sch Corp,FALSE,2098,Rural distant,2.5700000000000003,41.52,1,0.55
1803720,Lanesville Community School Corp,FALSE,742,Rural fringe,5.66,22.37,1.37,0.6
1803750,Franklin Township Com Sch Corp,FALSE,11139,City large,38.690000000000005,42.89,1.34,0.86
1803780,Fremont Community Schools,FALSE,982,Rural distant,5.6000000000000005,34.32,1,0.53
1803810,Frontier School Corporation,FALSE,675,Rural distant,5.93,24.3,1.34,0.6
1803870,Gary Community School Corp,FALSE,4374,City small,98.77,85.53,2.25,1.67
1803930,Goshen Community Schools,FALSE,6364,City small,63.2,54.98,1.71,1.16
1803940,Greater Clark County Schools,FALSE,10320,Suburb large,42.480000000000004,51.6,1.34,0.92
1803960,Greater Jasper Consolidated Schs,FALSE,3235,Rural fringe,22.23,35.52,1,0.62
1803990,Greencastle Community School Corp,FALSE,1842,Town distant,7.55,43.43,1,0.59
1804050,Greenfield-Central Com Schools,FALSE,4421,Suburb large,10.34,31.830000000000002,1,0.54
1804080,Greensburg Community Schools,FALSE,2178,Town distant,8.260000000000002,39.76,1.35,0.69
1804110,Greenwood Community Sch Corp,FALSE,3968,Suburb large,26.229999999999997,38.1,1,0.65
1804140,Monroe-Gregg School District,TRUE,1539,Rural fringe,7.08,32.1,2.07,1
1804170,Griffith Public Schools,FALSE,2005,Suburb large,54.71,48.88,1.69,1.08
1804230,Hamilton Community Schools,TRUE,359,Rural distant,6.69,36.49,2.08,1
1804260,Hamilton Heights School Corp,FALSE,2302,Suburb large,7.08,27.54,1,0.51
1804320,School City of Hammond,FALSE,11957,Suburb large,89.25999999999999,73.41,2.2,1.55
1804350,Hanover Community School Corp,FALSE,2615,Suburb large,24.89,17.4,1,0.54
1804470,Western School Corporation,FALSE,2570,Rural fringe,14.280000000000001,23.5,1,0.52
1804500,Wes-Del Community Schools,FALSE,893,Rural fringe,7.5,52.07000000000001,1.34,0.74
1804560,School Town of Highland,FALSE,3072,Suburb large,48.730000000000004,34.410000000000004,1,0.75
1804590,School City of Hobart,FALSE,4039,Suburb large,38.67,44.99,1.37,0.87
1804620,River Forest Community Sch Corp,FALSE,1583,Suburb large,63.3,57.13,1.74,1.18
1804710,Huntington Co Com Sch Corp,FALSE,4996,Town distant,8.59,42.29,1.37,0.71
1804770,Indianapolis Public Schools,FALSE,22115,City large,78.9,62.94,2.14,1.42
1804800,Jac-Cen-Del Community Sch Corp,FALSE,773,Rural distant,3.49,46.83,1.33,0.7
1804980,Jay School Corporation,FALSE,2984,Rural fringe,10.09,51.739999999999995,1.34,0.76
1805190,Jennings County School Corporation,FALSE,4023,Rural fringe,10.76,56.25,1.7,0.9
1805280,Kankakee Valley School Corp,FALSE,3252,Rural distant,14.729999999999999,41.54,1.34,0.73
1805340,Knox Community School Corp,FALSE,1751,Town distant,7.539999999999999,58.02,1.42,0.8
1805370,Kokomo School Corporation,FALSE,5301,City small,42.26,56.120000000000005,1.74,1.07
1805400,Lafayette School Corporation,FALSE,7430,City small,56.84,66.75999999999999,1.74,1.2
1805450,Lake Central School Corporation,FALSE,9418,Suburb large,35.49,23.89,1,0.63
1805460,Lake Ridge New Tech Schools,FALSE,1559,Suburb large,65.75,89.8,2.18,1.5
1805520,Lakeland School Corporation,FALSE,1682,Town distant,27.47,39.42,2.05,1.02
1805550,Wawasee Community School Corp,FALSE,2925,Rural fringe,14.430000000000001,43.9,1.73,0.87
1805580,LaPorte Community School Corp,FALSE,6323,City small,24.959999999999997,49.980000000000004,1.69,0.94
1805670,MSD Lawrence Township,FALSE,16247,Suburb large,81.07,59.68,1.75,1.29
1805700,Lawrenceburg Community School Corp,FALSE,2099,Town fringe,11.34,34.92,1.37,0.69
1805790,Lebanon Community School Corp,FALSE,3351,Town fringe,15.73,33.57,1,0.58
1805910,Linton-Stockton School Corporation,FALSE,1378,Town distant,4.79,46.73,1,0.59
1806030,Logansport Community Sch Corp,FALSE,4331,Town distant,56.57,54.67999999999999,2.05,1.24
1806060,Loogootee Community Sch Corp,FALSE,733,Rural fringe,5.319999999999999,34.92,1,0.53
1806080,MSD Warren County,FALSE,1363,Rural distant,5.87,43.43,1,0.58
1806090,Maconaquah School Corp,FALSE,1961,Rural fringe,17.54,53.239999999999995,1.4,0.82
1806120,Madison Consolidated Schools,FALSE,2704,Town distant,10.870000000000001,44.58,1.37,0.74
1806240,Madison-Grant United School Corp,FALSE,1262,Rural fringe,12.280000000000001,38.75,1.77,0.85
1806390,Marion Community Schools,FALSE,3753,Town distant,52.14,67.25,2.09,1.29
1806480,Sheridan Community Schools,FALSE,1052,Town fringe,8.559999999999999,33.37,1.35,0.66
1806510,MSD Martinsville Schools,FALSE,4086,Town fringe,6.140000000000001,40.06,1.34,0.68
1806570,Michigan City Area Schools,FALSE,5314,City small,58.32000000000001,76.12,2.07,1.36
1806600,Middlebury Community Schools,FALSE,4299,Rural fringe,15.790000000000001,24.8,1.34,0.65
1806630,Milan Community Schools,FALSE,970,Rural distant,3.09,45.57,1.71,0.81
1806660,Mill Creek Community Sch Corp,FALSE,1569,Rural distant,7.07,24.79,1.38,0.62
1806840,School City of Mishawaka,FALSE,5274,City small,34.19,53.36,2.08,1.13
1806870,Mississinewa Community School Corp,TRUE,2490,Town distant,18.029999999999998,63.78,1.73,1.02
1806900,Mitchell Community Schools,FALSE,1490,Town distant,6.4399999999999995,56.779999999999994,2.1,1.02
1807020,Cowan Community School Corp,FALSE,814,Rural fringe,9.71,47.79,1,0.62
1807080,Monroe Central School Corp,FALSE,1105,Rural fringe,6.7,44.519999999999996,1,0.59
1807110,Eastern Pulaski Community Sch Corp,FALSE,1177,Town distant,8.84,44.86,1.35,0.72
1807140,Mooresville Con School Corp,FALSE,4340,Suburb large,8.290000000000001,40.37,1,0.58
1807230,Yorktown Community Schools,FALSE,2686,Suburb small,16.34,31.569999999999997,1,0.57
1807260,Mt Vernon Community School Corp,FALSE,4526,Rural fringe,22.689999999999998,22.98,1,0.56
1807290,MSD Mount Vernon,FALSE,2064,Town fringe,10.08,34.06,1.36,0.67
1807320,Muncie Community Schools,FALSE,5141,City small,42.66,68.53,2.21,1.29
1807350,School Town of Munster,FALSE,4148,Suburb large,48.94,17.86,1,0.67
1807380,Nettle Creek School Corporation,FALSE,1110,Rural distant,5.949999999999999,39.550000000000004,1,0.56
1807410,New Albany-Floyd Co Con Sch,FALSE,11570,Suburb large,23.669999999999998,31.11,1,0.61
1807440,New Castle Community School Corp,FALSE,2886,Town distant,13.13,57.76,1.37,0.81
1807470,MSD of New Durham Township,FALSE,873,Town fringe,13.29,35.05,1.4,0.71
1807560,New Prairie United School Corp,FALSE,2869,Rural fringe,13.209999999999999,35.099999999999994,1,0.57
1807620,Nineveh-Hensley-Jackson United,FALSE,2028,Rural distant,5.08,28.9,1.34,0.62
1807650,Noblesville Schools,FALSE,10643,Suburb large,19.25,20.91,1,0.53
1807680,North Adams Community Schools,FALSE,1628,Town distant,18.12,45.39,1.38,0.78
1807710,North Daviess Com Schools,FALSE,1099,Rural remote,7.01,45.18,1.34,0.71
1807770,North Gibson School Corporation,TRUE,1921,Rural fringe,18.01,41.8,2.03,1
1807800,North Judson-San Pierre Sch Corp,FALSE,914,Rural distant,7.66,43.87,1.34,0.7
1807830,North Knox School Corp,FALSE,1224,Rural distant,7.19,52.290000000000006,1,0.63
1807860,North Lawrence Com Schools,FALSE,3886,Rural fringe,7.8,46.550000000000004,1.67,0.83
1807890,North Miami Community Schools,FALSE,858,Rural distant,9.09,39.39,1.38,0.7
1807900,North Montgomery Com Sch Corp,FALSE,1875,Rural distant,10.45,31.569999999999997,1,0.54
1807920,North Newton School Corp,FALSE,1169,Rural distant,15.4,48.5,1.34,0.77
1807950,MSD North Posey Co Schools,FALSE,1483,Rural distant,6.47,29.67,1,0.51
1807980,North Putnam Community Schools,FALSE,1360,Rural distant,3.9699999999999998,44.67,1.35,0.69
1808010,North Spencer County Sch Corp,FALSE,2081,Rural distant,10.24,31.81,1,0.54
1808040,Tri-Central Community Schools,FALSE,761,Rural fringe,12.22,42.58,1,0.61
1808070,North Vermillion Com Sch Corp,TRUE,694,Rural distant,5.76,47.260000000000005,2.05,1
1808100,North West Hendricks Schools,FALSE,1955,Rural fringe,9.1,21.64,1,0.49
1808120,Northeast Dubois Co Sch Corp,FALSE,876,Rural distant,4.34,21.58,1,0.46
1808130,North White School Corp,FALSE,909,Rural distant,51.6,74.15,1.78,1.22
1808160,Northeast School Corp,FALSE,786,Rural distant,3.18,59.29,1.36,0.76
1808190,Northeastern Wayne Schools,FALSE,1317,Rural distant,7.06,40.17,1.36,0.69
1808220,Northern Wells Community Schools,FALSE,2467,Rural distant,9.77,25.540000000000003,1,0.51
1808250,Northwest Allen County Schools,FALSE,7955,Rural fringe,19.06,17.69,1,0.52
1808280,Shenandoah School Corporation,FALSE,1351,Rural distant,5.33,26.35,1.36,0.61
1808310,Northwestern Con School Corp,FALSE,1462,Rural fringe,7.870000000000001,32.08,1.36,0.65
1808340,Oak Hill United School Corp,FALSE,1642,Rural distant,11.33,37.88,1.35,0.7
1808460,Oregon-Davis School Corp,FALSE,478,Rural distant,6.9,57.11000000000001,1.74,0.9
1808490,Orleans Community Schools,FALSE,887,Rural distant,3.38,56.14,1.37,0.75
1808640,Paoli Community School Corp,FALSE,1287,Town distant,6.68,57.809999999999995,1,0.66
